topic_id	title	cluster	icon_path	best_chapter	best_chapter_start	best_chapter_end	best_chapter_score	best_short_window_start	best_short_window_end	best_short_window_score	best_short_window_text	best_broad_window_start	best_broad_window_end	best_broad_window_score	best_broad_window_text
force-directed-layout-risk	Force-Directed Layout Risk	semantic-map-layout	talk2/normalised_images/force-directed-layout-risk.webp	No-overlap layout that keeps semantic integrity	00:01:35.655	00:03:57.121	0.617762	00:01:42.557	00:03:15.272	0.59306	added When we add that dimension, we then have to decide what to do about overlap One common thing people do is use a force-directed effect: if one node is too close to another node the nodes push themselves apart But then we have to tweak all kinds of fiddly	00:01:42.557	00:04:20.369	0.577266	added When we add that dimension, we then have to decide what to do about overlap One common thing people do is use a force-directed effect: if one node is too close to another node the nodes push themselves apart But then we have to tweak all kinds of fiddly
semantic-aware-multi-stage-layout	Semantic-Aware Multi-Stage Layout	semantic-map-layout	talk2/normalised_images/semantic-aware-multi-stage-layout.webp	No-overlap layout that keeps semantic integrity	00:01:35.655	00:03:57.121	0.664155	00:02:06.681	00:03:49.380	0.632859	But then we have to tweak all kinds of fiddly variables to keep the semantic integrity authentic It is also a bit of a kludge to switch to a different kind of algorithm at presentation time without any consideration of the semantic embeddings themselves I hav	00:01:42.557	00:04:20.369	0.583722	added When we add that dimension, we then have to decide what to do about overlap One common thing people do is use a force-directed effect: if one node is too close to another node the nodes push themselves apart But then we have to tweak all kinds of fiddly
orientation-stability	Orientation Stability	semantic-map-layout	talk2/normalised_images/orientation-stability.webp	Rotation anchor: stable orientation on regeneration	00:10:12.774	00:11:35.105	0.595602	00:10:07.891	00:11:30.362	0.570223	Another common problem is that the orientation can flip around whenever one of these maps is regenerated There are different ways of doing dimensionality reduction and they are often based on a random seed or on other stochastic things, that make it hard to k	00:10:07.891	00:12:09.269	0.560277	Another common problem is that the orientation can flip around whenever one of these maps is regenerated There are different ways of doing dimensionality reduction and they are often based on a random seed or on other stochastic things, that make it hard to k
two-point-rotation-anchor	Two-Point Rotation Anchor	semantic-map-layout	talk2/normalised_images/two-point-rotation-anchor.webp	Rotation anchor: stable orientation on regeneration	00:10:12.774	00:11:35.105	0.66988	00:10:07.891	00:11:30.362	0.555381	Another common problem is that the orientation can flip around whenever one of these maps is regenerated There are different ways of doing dimensionality reduction and they are often based on a random seed or on other stochastic things, that make it hard to k	00:10:07.891	00:12:09.269	0.541558	Another common problem is that the orientation can flip around whenever one of these maps is regenerated There are different ways of doing dimensionality reduction and they are often based on a random seed or on other stochastic things, that make it hard to k
regions-not-points	Regions Not Points	semantic-map-layout	talk2/normalised_images/regions-not-points.webp	Q (maf): nodes as regions not points, Voronoi	00:11:35.105	00:12:55.193	0.584743	00:11:30.422	00:12:23.639	0.520789	But in an actual 2D space, things also have dimensions They have shapes We also think in categories On the screen, in a user interface many of those things could be grouped together by putting them in a box, or surrounding them with a line That is how many mi	00:10:36.123	00:12:23.639	0.492598	I perform a rotation that anchors two points When I regenerate the map, the entire map coheres which is really nice, especially for adding or removing points We have time for maybe two more questions If anybody in the audience has something they would like to
category-boundaries	Category Boundaries	semantic-map-layout	talk2/normalised_images/category-boundaries.webp	Q (maf): nodes as regions not points, Voronoi	00:11:35.105	00:12:55.193	0.471749	00:11:30.422	00:12:23.639	0.503283	But in an actual 2D space, things also have dimensions They have shapes We also think in categories On the screen, in a user interface many of those things could be grouped together by putting them in a box, or surrounding them with a line That is how many mi	00:11:30.422	00:13:05.943	0.445397	But in an actual 2D space, things also have dimensions They have shapes We also think in categories On the screen, in a user interface many of those things could be grouped together by putting them in a box, or surrounding them with a line That is how many mi
voronoi-topic-regions	Voronoi Topic Regions	semantic-map-layout	talk2/normalised_images/voronoi-topic-regions.webp	Q (maf): nodes as regions not points, Voronoi	00:11:35.105	00:12:55.193	0.63709	00:11:49.575	00:12:43.185	0.54486	line That is how many mind maps are presented Are there any ways of quantifying the size of those embeddings on screen, so they are not just points and can be assigned a region of space Yes, that definitely could be done I have not done that yet I do not have	00:11:30.422	00:13:05.943	0.521197	But in an actual 2D space, things also have dimensions They have shapes We also think in categories On the screen, in a user interface many of those things could be grouped together by putting them in a box, or surrounding them with a line That is how many mi
generated-topic-icons	Generated Topic Icons	visual-language-zui	talk2/normalised_images/generated-topic-icons.webp	Adding visual language: generated icons	00:05:24.413	00:06:14.406	0.658834	00:04:59.694	00:06:25.169	0.591541	with a fittingly emptier area around it So the semantic integrity is good, but it is still not very intuitive These days we have image generators, so I semi-manually and semi-automatically generated icons for the topics That probably helps a little bit What w	00:04:59.694	00:07:20.445	0.553134	with a fittingly emptier area around it So the semantic integrity is good, but it is still not very intuitive These days we have image generators, so I semi-manually and semi-automatically generated icons for the topics That probably helps a little bit What w
topics-as-recognisable-entities	Topics as Recognisable Entities	visual-language-zui	talk2/normalised_images/topics-as-recognisable-entities.webp	Adding visual language: generated icons	00:05:24.413	00:06:14.406	0.588907	00:04:59.694	00:06:25.169	0.580229	with a fittingly emptier area around it So the semantic integrity is good, but it is still not very intuitive These days we have image generators, so I semi-manually and semi-automatically generated icons for the topics That probably helps a little bit What w	00:04:59.694	00:07:20.445	0.565922	with a fittingly emptier area around it So the semantic integrity is good, but it is still not very intuitive These days we have image generators, so I semi-manually and semi-automatically generated icons for the topics That probably helps a little bit What w
salience-rank-scale-opacity	Salience, Rank, Scale, and Opacity	visual-language-zui	talk2/normalised_images/salience-rank-scale-opacity.webp	Salience-driven scale and opacity; zoom states	00:06:14.406	00:07:54.548	0.644998	00:05:54.978	00:07:20.445	0.611198	There is a lot that could be done I do have large-language-model-generated salience scores for some of the topics I use those to adjust the scale and opacity of some nodes For instance, there is a woman who was loosely related to some people in this area thro	00:05:54.978	00:07:59.307	0.571717	There is a lot that could be done I do have large-language-model-generated salience scores for some of the topics I use those to adjust the scale and opacity of some nodes For instance, there is a woman who was loosely related to some people in this area thro
zoomable-user-interface	Zoomable User Interface	visual-language-zui	talk2/normalised_images/zoomable-user-interface.webp	Adding visual language: generated icons	00:05:24.413	00:06:14.406	0.603066	00:05:28.937	00:06:53.046	0.610919	That probably helps a little bit What would be more useful is a zoomable user interface where we can look at different things at different levels and see different zoom states, very much like what Ivan Lugo was talking about earlier I have not done much with	00:05:28.937	00:07:43.618	0.640624	That probably helps a little bit What would be more useful is a zoomable user interface where we can look at different things at different levels and see different zoom states, very much like what Ivan Lugo was talking about earlier I have not done much with
progressive-zoom-disclosure	Progressive Zoom Disclosure	visual-language-zui	talk2/normalised_images/progressive-zoom-disclosure.webp	Salience-driven scale and opacity; zoom states	00:06:14.406	00:07:54.548	0.585616	00:05:28.937	00:06:53.046	0.550746	That probably helps a little bit What would be more useful is a zoomable user interface where we can look at different things at different levels and see different zoom states, very much like what Ivan Lugo was talking about earlier I have not done much with	00:05:28.937	00:07:43.618	0.568673	That probably helps a little bit What would be more useful is a zoomable user interface where we can look at different things at different levels and see different zoom states, very much like what Ivan Lugo was talking about earlier I have not done much with
visual-linguistic-themes	Visual-Linguistic Themes	visual-language-zui	talk2/normalised_images/visual-linguistic-themes.webp	Robert Horn and visual language; pandemic mess-maps	00:16:57.935	00:19:55.657	0.473561	00:13:31.348	00:14:23.403	0.624901	of an article I saw on Hacker News or somewhere around there It was an arXiv paper, and it talked about that very thing Researchers had found that across a number of languages there was a very definite pattern to certain words word groups, and semantics One t	00:13:31.348	00:15:17.327	0.550208	of an article I saw on Hacker News or somewhere around there It was an arXiv paper, and it talked about that very thing Researchers had found that across a number of languages there was a very definite pattern to certain words word groups, and semantics One t
abstraction-levels	Abstraction Levels	visual-language-zui	talk2/normalised_images/abstraction-levels.webp	Adding visual language: generated icons	00:05:24.413	00:06:14.406	0.447867	00:04:59.694	00:06:25.169	0.42348	with a fittingly emptier area around it So the semantic integrity is good, but it is still not very intuitive These days we have image generators, so I semi-manually and semi-automatically generated icons for the topics That probably helps a little bit What w	00:04:59.694	00:07:20.445	0.412023	with a fittingly emptier area around it So the semantic integrity is good, but it is still not very intuitive These days we have image generators, so I semi-manually and semi-automatically generated icons for the topics That probably helps a little bit What w
map-as-expressive-interface	Map as Expressive Interface	expressive-interface	talk2/normalised_images/map-as-expressive-interface.webp	Q (Ivy): can the interface express, not just reveal?	00:07:54.548	00:08:12.087	0.589046	00:07:24.427	00:08:16.171	0.621527	That is basically as far as I have got with that I’m going to do the thing and jump in with a question in the middle That’s the format I have this weird personal belief: any interface that presents information, or presents a visualisation of something is also	00:06:53.174	00:08:40.395	0.57615	worth foregrounding from the broad overview perspective of his life When I am zoomed out, the map shows things that are high-rank and high-salience, or some combination of those When I zoom in, it shows more nodes without fading them out That is basically as
drag-and-drop-arrangement	Drag-and-Drop Arrangement	expressive-interface	talk2/normalised_images/drag-and-drop-arrangement.webp	Projecting back with UMAP: where would a new thing land?	00:08:12.087	00:10:12.774	0.434992	00:09:09.322	00:10:32.985	0.563867	What might it mean, based on everything else the system knows about the space How might it relate to these personal things these social things, and these work things That can absolutely be done It is also sometimes useful to do drag and-drop image-collage wor	00:09:28.875	00:11:49.545	0.545961	It is also sometimes useful to do drag and-drop image-collage work People often prefer paper for this kind of reason It is a real pain, when working digitally to lose the ability to arrange things freely So yes, I think that would be powerful Another common p
reverse-projection	Reverse Projection	expressive-interface	talk2/normalised_images/reverse-projection.webp	Projecting back with UMAP: where would a new thing land?	00:08:12.087	00:10:12.774	0.577556	00:07:59.337	00:09:08.985	0.547682	higher-dimensional spaces I’m curious what you have thought about with respect to doing expressive work through this interface Yes We can actually project back There is a popular library called UMAP Learn that lets us do that UMAP is a common solution for dim	00:11:08.621	00:12:43.185	0.557391	to ask, just unmute and go right ahead I have one question I really liked what you mentioned about reverse-projecting into high-dimensional spaces Mathematicians like to simplify things into spherical cows When modelling things in 2D, we model everything as p
moving-things-as-thinking	Moving Things as Thinking	expressive-interface	talk2/normalised_images/moving-things-as-thinking.webp	Intro: good mental models, high-bandwidth visual cognition	00:00:00.838	00:00:52.468	0.476373	00:09:09.322	00:10:32.985	0.476685	What might it mean, based on everything else the system knows about the space How might it relate to these personal things these social things, and these work things That can absolutely be done It is also sometimes useful to do drag and-drop image-collage wor	00:00:00.838	00:02:06.651	0.448111	Hello I’m interested in the problem of how we as human beings, can get a good mental model of what is going on I want to understand things and make use of our high-bandwidth visual centres, which are very good at interpreting information efficiently I’m inter
paper-like-digital-canvas	Paper-Like Digital Canvas	expressive-interface	talk2/normalised_images/paper-like-digital-canvas.webp	Projecting back with UMAP: where would a new thing land?	00:08:12.087	00:10:12.774	0.433287	00:09:09.322	00:10:32.985	0.577739	What might it mean, based on everything else the system knows about the space How might it relate to these personal things these social things, and these work things That can absolutely be done It is also sometimes useful to do drag and-drop image-collage wor	00:09:28.875	00:11:49.545	0.526235	It is also sometimes useful to do drag and-drop image-collage work People often prefer paper for this kind of reason It is a real pain, when working digitally to lose the ability to arrange things freely So yes, I think that would be powerful Another common p
local-global-layout-tension	Local-Global Layout Tension	shared-semantic-geometry	talk2/normalised_images/local-global-layout-tension.webp	Why the first map looks messy (high-D to 2D, overlap, force-directed kludge)	00:00:52.468	00:01:35.655	0.532319	00:00:25.679	00:01:42.276	0.49905	information efficiently I’m interested in how things like embeddings, generated categories, different kinds of relationships and graph structures can be used to make useful visualisations that do not look like a mess Speaking of which, this looks like a mess	00:00:00.838	00:02:06.651	0.506	Hello I’m interested in the problem of how we as human beings, can get a good mental model of what is going on I want to understand things and make use of our high-bandwidth visual centres, which are very good at interpreting information efficiently I’m inter
shared-representational-geometry	Shared Representational Geometry	shared-semantic-geometry	talk2/normalised_images/shared-representational-geometry.webp	Shared geometry across models; interpretability and safety	00:12:55.193	00:14:05.193	0.66152	00:12:43.215	00:13:48.333	0.590769	and embedding spaces, they are finding out some really cool things recently Particular geometric patterns are being shared among completely different models We are starting to peer into that geometric representation space that they have learned in high dimens	00:12:09.299	00:13:48.333	0.586437	I have not done that yet I do not have it saying, for example that this belongs to a work cluster I do not have that kind of membership information at the moment, but it is doable Just looking at the 2D screen, I guess something like a Voronoi map would be th
cross-model-geometric-patterns	Cross-Model Geometric Patterns	shared-semantic-geometry	talk2/normalised_images/cross-model-geometric-patterns.webp	Shared geometry across models; interpretability and safety	00:12:55.193	00:14:05.193	0.608597	00:12:43.215	00:13:48.333	0.594101	and embedding spaces, they are finding out some really cool things recently Particular geometric patterns are being shared among completely different models We are starting to peer into that geometric representation space that they have learned in high dimens	00:12:43.215	00:14:23.403	0.582066	and embedding spaces, they are finding out some really cool things recently Particular geometric patterns are being shared among completely different models We are starting to peer into that geometric representation space that they have learned in high dimens
cross-lingual-semantic-shapes	Cross-Lingual Semantic Shapes	shared-semantic-geometry	talk2/normalised_images/cross-lingual-semantic-shapes.webp	Q (Ivan Lugo): shared shapes across languages	00:14:05.193	00:15:26.504	0.567301	00:15:17.357	00:16:32.003	0.522119	really efficient way Then the Manifold Steering paper came out It basically showed things like different dates mapping to a particular shape inside large language models They look at things like weekdays in different language models corresponding to certain s	00:15:17.357	00:17:01.386	0.53558	really efficient way Then the Manifold Steering paper came out It basically showed things like different dates mapping to a particular shape inside large language models They look at things like weekdays in different language models corresponding to certain s
person-specific-meaning	Person-Specific Meaning	shared-semantic-geometry	talk2/normalised_images/person-specific-meaning.webp	Q (Ivan Lugo): shared shapes across languages	00:14:05.193	00:15:26.504	0.386642	00:14:05.193	00:15:17.327	0.390785	I’m curious because you have clearly operated on this from different texts and different spaces Have you seen linguistic patterns in the way you have built this out Have you tried to visualise that For instance, in this case Dining means this but for another	00:14:05.193	00:16:16.048	0.387162	I’m curious because you have clearly operated on this from different texts and different spaces Have you seen linguistic patterns in the way you have built this out Have you tried to visualise that For instance, in this case Dining means this but for another
manifold-steering	Manifold Steering	shared-semantic-geometry	talk2/normalised_images/manifold-steering.webp	MiniLM salience, then the Manifold Steering paper	00:15:26.504	00:16:57.935	0.594276	00:15:17.357	00:16:32.003	0.635157	really efficient way Then the Manifold Steering paper came out It basically showed things like different dates mapping to a particular shape inside large language models They look at things like weekdays in different language models corresponding to certain s	00:15:17.357	00:17:01.386	0.615617	really efficient way Then the Manifold Steering paper came out It basically showed things like different dates mapping to a particular shape inside large language models They look at things like weekdays in different language models corresponding to certain s
calendar-concept-shapes	Calendar Concept Shapes	shared-semantic-geometry	talk2/normalised_images/calendar-concept-shapes.webp	MiniLM salience, then the Manifold Steering paper	00:15:26.504	00:16:57.935	0.492603	00:15:17.357	00:16:32.003	0.502499	really efficient way Then the Manifold Steering paper came out It basically showed things like different dates mapping to a particular shape inside large language models They look at things like weekdays in different language models corresponding to certain s	00:15:17.357	00:17:01.386	0.483841	really efficient way Then the Manifold Steering paper came out It basically showed things like different dates mapping to a particular shape inside large language models They look at things like weekdays in different language models corresponding to certain s
interpretability-and-ai-safety	Interpretability and AI Safety	shared-semantic-geometry	talk2/normalised_images/interpretability-and-ai-safety.webp	Shared geometry across models; interpretability and safety	00:12:55.193	00:14:05.193	0.611276	00:13:07.881	00:14:03.079	0.534543	People are interested in that from a machine-learning interpretability and safety perspective as well Thanks We have time for one more question I have a quick one too That last point about high dimensionality and language reminds me of an article I saw on Hac	00:13:07.881	00:14:51.756	0.516167	People are interested in that from a machine-learning interpretability and safety perspective as well Thanks We have time for one more question I have a quick one too That last point about high dimensionality and language reminds me of an article I saw on Hac
visual-language-grammar	Visual Language Grammar	collective-sensemaking	talk2/normalised_images/visual-language-grammar.webp	Robert Horn and visual language; pandemic mess-maps	00:16:57.935	00:19:55.657	0.566359	00:17:18.847	00:18:37.968	0.565747	Maybe a decade ago, he published some really cool PDFs to archive.org, after they had already scanned his visual language book He has a very clear walkthrough of how this can make sense between us How can somebody have an inkling of what this is about by look	00:16:44.705	00:18:37.968	0.598816	This is really cool to see It shows how it works on the data side Thank you Very cool I also love to point to Bob Horn Robert Horn, who coined the term visual language or at least popularised it He wrote a book about it He is a wise elder gentleman who lives
robert-horn-visual-language	Robert Horn Visual Language	collective-sensemaking	talk2/normalised_images/robert-horn-visual-language.webp	Robert Horn and visual language; pandemic mess-maps	00:16:57.935	00:19:55.657	0.787982	00:16:44.705	00:17:48.207	0.728866	This is really cool to see It shows how it works on the data side Thank you Very cool I also love to point to Bob Horn Robert Horn, who coined the term visual language or at least popularised it He wrote a book about it He is a wise elder gentleman who lives	00:16:44.705	00:18:37.968	0.732469	This is really cool to see It shows how it works on the data side Thank you Very cool I also love to point to Bob Horn Robert Horn, who coined the term visual language or at least popularised it He wrote a book about it He is a wise elder gentleman who lives
information-murals-and-mess-maps	Information Murals and Mess Maps	collective-sensemaking	talk2/normalised_images/information-murals-and-mess-maps.webp	Robert Horn and visual language; pandemic mess-maps	00:16:57.935	00:19:55.657	0.512182	00:19:06.267	00:20:11.681	0.531816	risk areas How do we get them to collaborate and share their findings in a useful way We might make a mess map, or an information mural or something like that There is a defined language that has been mapped out to some degree That does not mean there are no	00:18:14.048	00:20:11.681	0.506081	how they fit together, and what level of abstraction works His book is probably from the 1980s or 1990s I do not know how well-known it is but it is out there on archive.org and he posted it as himself I encourage people who are wondering about the grammar of
cross-specialist-collaboration	Cross-Specialist Collaboration	collective-sensemaking	talk2/normalised_images/cross-specialist-collaboration.webp	Robert Horn and visual language; pandemic mess-maps	00:16:57.935	00:19:55.657	0.418688	00:18:37.998	00:19:52.373	0.511233	visual language to check that out, because he has thought about this stuff a lot People have been using this kind of thing actively for things like studying pandemics How do we communicate with hundreds of different people who have different specialisms in di	00:18:37.998	00:20:17.599	0.508988	visual language to check that out, because he has thought about this stuff a lot People have been using this kind of thing actively for things like studying pandemics How do we communicate with hundreds of different people who have different specialisms in di
pandemic-and-biorisk-collaboration	Pandemic and Biorisk Collaboration	collective-sensemaking	talk2/normalised_images/pandemic-and-biorisk-collaboration.webp	Robert Horn and visual language; pandemic mess-maps	00:16:57.935	00:19:55.657	0.461068	00:18:37.998	00:19:52.373	0.598349	visual language to check that out, because he has thought about this stuff a lot People have been using this kind of thing actively for things like studying pandemics How do we communicate with hundreds of different people who have different specialisms in di	00:18:37.998	00:20:17.599	0.602679	visual language to check that out, because he has thought about this stuff a lot People have been using this kind of thing actively for things like studying pandemics How do we communicate with hundreds of different people who have different specialisms in di
collective-sensemaking-tools	Collective Sensemaking Tools	collective-sensemaking	talk2/normalised_images/collective-sensemaking-tools.webp	Intro: good mental models, high-bandwidth visual cognition	00:00:00.838	00:00:52.468	0.420585	00:19:06.267	00:20:11.681	0.46924	risk areas How do we get them to collaborate and share their findings in a useful way We might make a mess map, or an information mural or something like that There is a defined language that has been mapped out to some degree That does not mean there are no	00:18:37.998	00:20:17.599	0.430989	visual language to check that out, because he has thought about this stuff a lot People have been using this kind of thing actively for things like studying pandemics How do we communicate with hundreds of different people who have different specialisms in di
new-media-grammar	New Media Grammar	collective-sensemaking	talk2/normalised_images/new-media-grammar.webp	Robert Horn and visual language; pandemic mess-maps	00:16:57.935	00:19:55.657	0.434068	00:19:29.395	00:20:17.599	0.498962	to some degree That does not mean there are no new forms of language, or new ways of doing things that we are discovering as we make new media But it is a really useful body of work to check out That is probably a good note to end on Luke, thank you very much	00:18:14.048	00:20:11.681	0.485083	how they fit together, and what level of abstraction works His book is probably from the 1980s or 1990s I do not know how well-known it is but it is out there on archive.org and he posted it as himself I encourage people who are wondering about the grammar of
samuel-pepys-life-map	Samuel Pepys Life Map	case-study	talk2/normalised_images/samuel-pepys-life-map.webp	Pepys as corpus: bladder-stone, gold, Navy, Great Fire clusters	00:03:57.121	00:05:24.413	0.53747	00:03:17.546	00:04:58.331	0.602143	These topics are from Samuel Pepys’s life and the things in it I took them from a manually made list This is a lot better The semantic integrity is actually quite good For example, there is the bladder stone surgery he had The stone was a personal concern of	00:03:17.546	00:05:54.948	0.598413	These topics are from Samuel Pepys’s life and the things in it I took them from a manually made list This is a lot better The semantic integrity is actually quite good For example, there is the bladder stone surgery he had The stone was a personal concern of
biographical-salience	Biographical Salience	case-study	talk2/normalised_images/biographical-salience.webp	Salience-driven scale and opacity; zoom states	00:06:14.406	00:07:54.548	0.467746	00:05:54.978	00:07:20.445	0.503124	There is a lot that could be done I do have large-language-model-generated salience scores for some of the topics I use those to adjust the scale and opacity of some nodes For instance, there is a woman who was loosely related to some people in this area thro	00:05:54.978	00:07:59.307	0.46525	There is a lot that could be done I do have large-language-model-generated salience scores for some of the topics I use those to adjust the scale and opacity of some nodes For instance, there is a woman who was loosely related to some people in this area thro
pepys-medical-anxiety	Pepys Medical Anxiety	case-study	talk2/normalised_images/pepys-medical-anxiety.webp	Pepys as corpus: bladder-stone, gold, Navy, Great Fire clusters	00:03:57.121	00:05:24.413	0.610398	00:03:17.546	00:04:58.331	0.640483	These topics are from Samuel Pepys’s life and the things in it I took them from a manually made list This is a lot better The semantic integrity is actually quite good For example, there is the bladder stone surgery he had The stone was a personal concern of	00:03:17.546	00:05:54.948	0.511533	These topics are from Samuel Pepys’s life and the things in it I took them from a manually made list This is a lot better The semantic integrity is actually quite good For example, there is the bladder stone surgery he had The stone was a personal concern of
pepys-work-and-institutions	Pepys Work and Institutions	case-study	talk2/normalised_images/pepys-work-and-institutions.webp	Pepys as corpus: bladder-stone, gold, Navy, Great Fire clusters	00:03:57.121	00:05:24.413	0.564785	00:03:17.546	00:04:58.331	0.538044	These topics are from Samuel Pepys’s life and the things in it I took them from a manually made list This is a lot better The semantic integrity is actually quite good For example, there is the bladder stone surgery he had The stone was a personal concern of	00:03:17.546	00:05:54.948	0.494022	These topics are from Samuel Pepys’s life and the things in it I took them from a manually made list This is a lot better The semantic integrity is actually quite good For example, there is the bladder stone surgery he had The stone was a personal concern of
